Statement Period,Transaction Month,Service,Country,Label,Artist,Release Title,Track Title,UPC,ISRC,Release Catalog ID,Track Catalog ID,Channel,Format,Quantity,Gross Revenue in USD,Mechanical Royalties Deducted,Contract ID,Net Revenue in USD,Your Share %,Amount Due in USD,Statement Total in USD,Opening Balance in USD,Closing Balance in USD
2023-07,2023-05,Apple Music,Italy,180 Records Ltd.,7Piano,"Peso, io","Peso, io",194152593289,QZGWX2026748,194152593289,,Subscription Streaming,Track ,2,0.010304,0,278993,0.0087584,100,0.0087584,2.36693805,0,2.36693805
2023-07,2023-04,Spotify,Italy,Llaro,Llaro,Emisfero,Emisfero,198001541056,QZPJ32119112,,,Subscription Streaming,Track ,4,0.021188,0,278993,0.0180098,100,0.0180098,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Lundini,Lundini,195999898049,QZGWX2131045,195999898049,,Ad-Supported Streaming,Track ,17,0.008171,0,278993,0.00694535,100,0.00694535,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Palazzi,Lundini,198001920899,QZGWX2131045,198001920899,,Subscription Streaming,Track ,39,0.120579,0,278993,0.10249215,100,0.10249215,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,Palazzi,Quando Mi Chiami,198001920899,QZPJ32201477,198001920899,,Unmonetized,Track ,4,0,0,278993,0,100,0,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,Palazzi,Via Dei Mille,198001920899,QZPJ32201479,198001920899,,Unmonetized,Track ,1,0,0,278993,0,100,0,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,"Peso, io","Peso, io",194152593289,QZGWX2026748,194152593289,,Unmonetized,Track ,1,0,0,278993,0,100,0,,,
2023-07,2023-05,Apple Music,Italy,180 Records Ltd.,7Piano,"Peso, io","Peso, io",194152593289,QZGWX2026748,194152593289,,Subscription Streaming,Track ,5,0.022679,0,278993,0.01927715,100,0.01927715,,,
2023-07,2023-02,Tencent,China,180 Records Ltd.,7Piano,Palazzi,90 (Online),198001920899,QZPJ32201475,198001920899,,Subscription Streaming,Track ,2,0,0,278993,0,100,0,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,"Peso, io","Peso, io",194152593289,QZGWX2026748,194152593289,,Subscription Streaming,Track ,30,0.134962,0,278993,0.1147177,100,0.1147177,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Palazzi,Intro,198001920899,QZPJ32201474,198001920899,,Ad-Supported Streaming,Track ,5,0.002403,0,278993,0.00204255,100,0.00204255,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,Lundini,Lundini,195999898049,QZGWX2131045,195999898049,,Ad-Supported Streaming,Track ,1,0.003279,0,278993,0.00278715,100,0.00278715,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,Palazzi,Quando Mi Chiami,198001920899,QZPJ32201477,198001920899,,Unmonetized,Track ,2,0,0,278993,0,100,0,,,
2023-07,2023-03,Facebook,United Kingdom,180 Records Ltd.,7Piano,Palazzi,90 (Online),198001920899,QZPJ32201475,198001920899,,User Generated Content,Track ,3,0.011634,0,278993,0.0098889,100,0.0098889,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Palazzi,Piccola Così,198001920899,QZPJ32146683,198001920899,,Subscription Streaming,Track ,64,0.246171,0,278993,0.20924535,100,0.20924535,,,
2023-07,2023-04,Tidal,Italy,180 Records Ltd.,7Piano,Palazzi,Palazzi (Skit),198001920899,QZPJ32201478,198001920899,,Subscription Streaming,Track ,2,0.010076,0,278993,0.0085646,100,0.0085646,,,
2023-07,2023-04,Tidal,Italy,180 Records Ltd.,7Piano,Palazzi,Naif,198001920899,QZGWX2223340,198001920899,,Subscription Streaming,Track ,1,0.005038,0,278993,0.0042823,100,0.0042823,,,
2023-07,2023-04,Spotify,Netherlands,180 Records Ltd.,7Piano,Naif,Naif,198001332357,QZGWX2223340,198001332357,,Subscription Streaming,Track ,1,0.002544,0,278993,0.0021624,100,0.0021624,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Palazzi,Piccola Così,198001920899,QZPJ32146683,198001920899,,Ad-Supported Streaming,Track ,5,0.002403,0,278993,0.00204255,100,0.00204255,,,
2023-07,2023-04,Spotify,Italy,180 Records Ltd.,7Piano,Lundini,Lundini,195999898049,QZGWX2131045,195999898049,,Subscription Streaming,Track ,33,0.110272,0,278993,0.0937312,100,0.0937312,,,
2023-07,2023-03,Facebook,Vietnam,180 Records Ltd.,7Piano,Lundini,Lundini,195999898049,QZGWX2131045,195999898049,,User Generated Content,Track ,5,0.003114,0,278993,0.0026469,100,0.0026469,,,
2023-07,2023-04,YouTube,Italy,180 Records Ltd.,7Piano,Palazzi,Quando Mi Chiami,198001920899,QZPJ32201477,198001920899,,Unmonetized,Track ,2,0,0,278993,0,100,0,,,
