2023-07-01 09:37:46,803 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sat Jul 01 09:37:46 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-01 09:37:47,190 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-01 09:37:47,200 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-01 09:37:47,438 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-50861-1688197067325-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-01 09:37:47,447 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-01 09:37:47,447 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-01 09:37:47,449 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-01 09:37:47,449 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-01 09:37:47,453 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-01 09:37:47,453 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-01 09:37:47,455 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-01 09:37:47,455 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-01 09:37:47,524 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-01 09:37:47,524 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-01 09:37:47,524 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-50861-1688197067325-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-01 09:37:47,524 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-01 09:37:47,745 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-01 09:37:47,780 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
